Price,Size,Bath,Bed,City_Cascais,City_Lisboa,City_Other,City_Porto,City_Sintra,predicted_rent
31500,72,0,2,0,0,1,0,0,602.7483524112376
345000,168,0,3,0,0,0,1,0,1715.8354226547835
345000,192,3,4,0,0,1,0,0,2163.353158430607
219000,201,2,3,0,0,1,0,0,2024.7423195264605
72000,110,2,3,0,0,1,0,0,1270.2177203376114
325000,200,4,5,0,0,1,0,0,2442.9191422381646
559000,239,5,4,0,0,1,0,0,2831.3706982126887
465000,381,5,4,0,0,1,0,0,4008.760732111772
260000,144,2,3,0,0,1,0,0,1552.128010144434
400000,201,2,3,0,0,1,0,0,2024.7423195264605
565000,338,3,4,0,0,1,0,0,3373.9091087775523
750000,252,5,4,0,0,1,0,0,2939.159926668238
750000,325,5,4,0,0,1,0,0,3544.437901841711
750000,328,5,4,0,0,1,0,0,3569.312339177607
282000,296,2,3,0,0,1,0,0,2812.432835163171
175000,125,2,3,0,0,1,0,0,1394.589907017092
325000,208,4,3,0,0,1,0,0,2361.1006948299264
640000,150,3,3,0,0,0,1,0,1984.0658309189696
120000,192,1,3,0,0,1,0,0,1810.9599967589177
169000,70,1,2,0,0,1,0,0,725.3244049471612
350000,180,4,3,0,0,1,0,0,2128.939279694896
260000,174,2,3,0,0,1,0,0,1800.8723835033954
565000,360,5,4,0,0,1,0,0,3834.639670760499
265000,307,0,3,0,0,1,0,0,2625.321083875082
235000,182,2,3,0,0,1,0,0,1867.2042163991184
780000,198,3,3,0,0,1,0,0,2139.0268929504186
315000,110,3,3,0,0,0,1,0,1652.4066664403545
225000,90,2,2,0,0,1,0,0,1030.312997946323
375000,216,0,4,0,0,1,0,0,1944.8716248382132
120000,1605,1,1,0,0,1,0,0,13378.669701662035
275000,103,2,3,0,0,1,0,0,1212.1773665538535
165000,126,0,3,0,0,1,0,0,1124.5633646093488
315000,110,0,3,0,0,0,1,0,1234.9296341607915
590000,129,2,3,0,0,1,0,0,1427.7558234649534
105000,275,2,6,0,0,1,0,0,2860.5371942678403
250000,110,2,3,0,0,1,0,0,1270.2177203376114
490000,167,0,3,0,0,1,0,0,1464.5140081999293
925000,311,6,4,0,0,0,1,0,3810.5461403769386
460000,2400,5,4,0,0,1,0,0,20749.257059169868
550000,369,5,5,0,0,1,0,0,3983.3381229201677
799000,312,0,5,0,0,1,0,0,2814.92875973887
340000,136,0,3,0,0,1,0,0,1207.4781557290025
928000,396,5,9,0,0,1,0,0,4503.508619551156
315000,45,1,2,0,0,1,0,0,518.0374271480268
320000,50,1,1,0,0,0,1,0,728.449617898762
