Price,Address,Prop_type,Size,Bath,Bed
 435 000 € ," Porto -   Valongo, Valongo  ",House,  243 m2 ,  4 ,  3 
 500 000 € ," Porto -   Gondomar, Gondomar (São Cosme), Valbom e Jovim  ",House,  230 m2 ,  4 ,  4 
 580 000 € ," Porto -   Porto, Campanhã  ",House,  443 m2 ,  7 ,  6 
 180 000 € ," Porto -   Felgueiras, Vila Fria e Vizela (São Jorge)  ",House,  233 m2 ,  1 ,  3 
 330 000 € ," Porto -   Maia, Cidade da Maia  ",House,  180 m2 ,  2 ,  5 
 510 000 € ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",House,  168 m2 ,  3 ,  3 
 1 289 000 € ," Porto -   Vila Nova de Gaia, Gulpilhares e Valadares  ",House,  260 m2 ,  4 ,  4 
 280 000 € ," Porto -   Felgueiras, Macieira da Lixa e Caramos  ",House,  350 m2 ,  4 ,  4 
 89 900 € ," Porto -   Vila Nova de Gaia, Oliveira do Douro  ",House,  80 m2 ,  1 ,  2 
 107 500 € ," Porto -   Baião, Santa Marinha do Zêzere  ",House,  100 m2 ,  0 ,  3 
 182 500 € ," Porto -   Baião, Santa Marinha do Zêzere  ",House,  100 m2 ,  0 ,  3 
 92 500 € ," Porto -   Marco de Canaveses, Soalhães  ",House,  18 m2 ,  0 ,  1 
 350 000 € ," Porto -   Maia, Castêlo da Maia  ",House,  233 m2 ,  4 ,  4 
 98 000 € ," Porto -   Paredes, Lordelo  ",House,  60 m2 ,  1 ,  2 
 300 000 € ," Porto -   Felgueiras, Vila Fria e Vizela (São Jorge)  ",House,  642 m2 ,  3 ,  4 
 235 000 € ," Porto -   Marco de Canaveses, Tabuado  ",House,  200 m2 ,  2 ,  3 
 1 490 000 € ," Porto -   Porto, Aldoar, Foz do Douro e Nevogilde  ",House,  358 m2 ,  4 ,  3 
 250 000 € ," Porto -   Gondomar, Rio Tinto  ",House,  120 m2 ,  2 ,  5 
 49 000 € ," Porto -   Penafiel, Boelhe  ",House,  455 m2 ,  0 ,  3 
 532 000 € ," Porto -   Gondomar, Rio Tinto  ",House,  96 m2 ,  0 ,  3 
 295 500 € ," Porto -   Gondomar, Fânzeres e São Pedro da Cova  ",House,  108 m2 ,  0 ,  2 
 262 000 € ," Porto -   Gondomar, Rio Tinto  ",House,  113 m2 ,  0 ,  3 
 139 500 € ," Porto -   Amarante, Vila Meã  ",House,  57 m2 ,  1 ,  3 
 220 000 € ," Porto -   Vila Nova de Gaia, Madalena  ",House,  89 m2 ,  1 ,  3 
 215 000 € ," Porto -   Santo Tirso, Monte Córdova  ",House,  156 m2 ,  0 ,  3 
 125 000 € ," Porto -   Santo Tirso, São Tomé Negrelos  ",House,  101 m2 ,  0 ,  3 
 135 000 € ," Porto -   Porto, Bonfim  ",House,  41 m2 ,  0 ,  1 
 12 500 € ," Porto -   Baião, Gestaçô  ",House,  45 m2 ,  0 ,  1 
 380 000 € ," Porto -   Gondomar, Fânzeres e São Pedro da Cova  ",House,  207 m2 ,  3 ,  4 
 325 000 € ," Porto -   Matosinhos, Custóias, Leça do Balio e Guifões  ",House,  158 m2 ,  2 ,  2 
 800 000 € ," Porto -   Amarante, Gondar  ",House,  351 m2 ,  5 ,  3 
