Price,Address,Prop_type,Size,Bath,Bed
 250 €  /  Monthly  ," Porto -   Porto, Bonfim  ",Garage,  11 m2 ,  1 ,  -- 
 500 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Business Office,  53 m2 ,  0 ,  0 
 1 200 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Mafamude e Vilar do Paraíso  ",Store,  263 m2 ,  4 ,  -- 
 400 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Mafamude e Vilar do Paraíso  ",Business Office,  39 m2 ,  1 ,  -- 
 2 250 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",House,  104 m2 ,  2 ,  3 
 1 850 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Santa Marinha e São Pedro da Afurada  ",Condo/Apartment,  198 m2 ,  3 ,  3 
 900 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Business Office,  65 m2 ,  0 ,  -- 
 900 €  /  Monthly  ," Porto -   Amarante, Amarante (São Gonçalo), Madalena, Cepelos e Gatão  ",Store,  87 m2 ,  0 ,  -- 
 1 600 €  /  Monthly  ," Porto -   Vila do Conde, Modivas  ",Land,  -- m2 ,  0 ,  -- 
 750 €  /  Monthly  ," Porto -   Vila do Conde, Vilar e Mosteiró  ",Land,  -- m2 ,  0 ,  -- 
 6 800 €  /  Monthly  ," Porto -   Vila do Conde, Modivas  ",Land,  -- m2 ,  0 ,  -- 
 1 150 €  /  Monthly  ," Porto -   Vila do Conde, Vilar e Mosteiró  ",Land,  -- m2 ,  0 ,  -- 
